data,sku,descricao,qtd_usada_unidades,custo_unitario_brl
2024-05-01,BEB008,Suco Natural,22,3.34
2024-05-01,ENT004,Antepasto Misto,17,19.86
2024-05-01,PRI005,Gnocchi al Pesto,54,18.42
2024-05-01,BEB006,Prosecco (Taça),30,11.29
2024-05-01,PRI002,Fettuccine Alfredo,46,17.32
2024-05-01,PRI007,Ossobuco alla Milanese,30,35.41
2024-05-01,PRI006,Filetto di Manzo,50,32.66
2024-05-01,BEB005,Vinho Branco (Taça),20,9.52
2024-05-01,PRI008,Pizza Margherita,42,14.11
2024-05-01,PRI001,Spaghetti alla Carbonara,55,17.61
2024-05-01,ENT005,Calamari Fritti,27,14.51
2024-05-01,PRI004,Risotto ai Funghi,28,22.81
2024-05-01,SOB002,Panna Cotta,23,8.68
2024-05-01,BEB004,Vinho Tinto (Taça),20,11.24
2024-05-01,SOB001,Tiramisu,18,9.48
2024-05-01,BEB002,Água Mineral,16,1.04
2024-05-01,BEB001,Refrigerante,15,1.56
2024-05-01,PRI003,Lasagna Bolognese,59,20.09
2024-05-01,SOB003,Cannoli Siciliano,26,7.38
2024-05-01,ENT001,Bruschetta Tradicional,23,8.22
2024-05-01,ENT003,Burrata com Tomate,17,18.7
2024-05-01,SOB004,Gelato Misto,13,6.66
2024-05-01,BEB007,Aperol Spritz,17,12.96
2024-05-01,ENT002,Carpaccio de Filé Mignon,15,14.85
2024-05-01,BEB003,Café Espresso,20,1.68
2024-05-02,PRI004,Risotto ai Funghi,50,23.66
2024-05-02,BEB004,Vinho Tinto (Taça),25,10.89
2024-05-02,ENT003,Burrata com Tomate,19,18.01
2024-05-02,PRI005,Gnocchi al Pesto,44,17.09
2024-05-02,BEB005,Vinho Branco (Taça),24,9.05
2024-05-02,SOB002,Panna Cotta,23,8.86
2024-05-02,ENT001,Bruschetta Tradicional,21,8.35
2024-05-02,ENT004,Antepasto Misto,29,19.86
2024-05-02,SOB003,Cannoli Siciliano,27,7.2
2024-05-02,ENT002,Carpaccio de Filé Mignon,25,14.6
2024-05-02,PRI006,Filetto di Manzo,44,31.71
2024-05-02,PRI003,Lasagna Bolognese,52,19.68
2024-05-02,PRI001,Spaghetti alla Carbonara,32,18.17
2024-05-02,PRI002,Fettuccine Alfredo,44,17.27
2024-05-02,PRI007,Ossobuco alla Milanese,47,35.06
2024-05-02,PRI008,Pizza Margherita,44,14.32
2024-05-02,BEB006,Prosecco (Taça),21,11.24
2024-05-02,ENT005,Calamari Fritti,29,14.3
2024-05-02,BEB001,Refrigerante,26,1.68
2024-05-02,SOB004,Gelato Misto,27,6.16
2024-05-02,BEB007,Aperol Spritz,16,12.84
2024-05-02,BEB008,Suco Natural,32,3.33
2024-05-02,BEB003,Café Espresso,19,1.67
2024-05-02,BEB002,Água Mineral,19,1.02
2024-05-02,SOB001,Tiramisu,22,9.68
2024-05-03,PRI002,Fettuccine Alfredo,52,16.91
2024-05-03,PRI008,Pizza Margherita,71,14.6
2024-05-03,BEB004,Vinho Tinto (Taça),38,10.54
2024-05-03,PRI006,Filetto di Manzo,63,30.95
